X1,X2,X3,X4,X5,X6,classe
2,21,37,33,22,6,CA
4,24,37,33,15,5,CA
5,21,35,31,21,1,CA
2,19,39,29,22,1,CA
0,22,37,33,14,5,CA
4,16,36,26,18,9,CA
0,22,32,29,15,2,CA
2,16,33,27,19,2,CA
5,23,38,33,16,8,CA
-1,19,33,27,14,4,CA
0,17,32,27,16,7,CA
-2,21,39,32,14,2,CA
0,18,37,30,15,3,CA
6,17,38,29,15,7,CA
5,20,40,28,19,3,CA
0,17,32,26,21,5,CA
-2,21,37,31,19,3,CA
1,19,37,30,19,5,CA
0,22,34,30,22,9,CA
6,21,37,29,16,2,CA
0,18,32,28,22,8,CA
3,18,36,32,14,8,CA
5,16,36,31,19,1,CA
5,17,39,33,14,1,CA
3,16,39,32,14,8,CA
6,20,37,31,21,5,CA
4,21,33,25,22,6,CA
-2,19,33,26,19,1,CA
6,23,38,29,16,6,CA
-1,21,33,32,17,3,CA
6,22,33,27,14,1,CA
3,19,35,27,17,2,CA
-1,23,34,29,14,1,CA
6,17,32,33,15,3,CA
5,19,34,32,19,8,CA
5,19,32,26,16,8,CA
6,19,39,25,21,1,CA
5,19,35,33,19,9,CA
-1,20,37,33,17,3,CA
6,20,32,29,20,1,CA
-1,24,35,27,21,2,CA
6,16,32,31,14,5,CA
0,19,40,30,21,6,CA
0,16,35,28,19,9,CA
0,20,33,31,18,8,CA
4,21,40,30,18,2,CA
3,21,38,30,15,1,CA
5,24,37,32,16,7,CA
4,19,36,28,21,8,CA
2,18,34,30,14,2,CA
84,40,16,72,99,48,CB
83,46,20,72,101,50,CB
86,45,19,71,104,47,CB
83,44,22,69,104,52,CB
87,46,22,68,102,51,CB
81,42,12,76,98,50,CB
89,46,20,71,102,51,CB
90,44,12,73,103,52,CB
90,40,18,71,96,50,CB
80,41,16,74,97,51,CB
88,41,14,78,96,44,CB
89,42,19,70,101,49,CB
88,39,19,68,103,52,CB
86,43,13,74,104,48,CB
85,46,21,71,104,49,CB
83,46,15,76,95,46,CB
80,39,19,75,95,51,CB
86,41,16,77,102,52,CB
84,41,12,76,102,44,CB
86,45,16,74,103,54,CB
87,45,12,78,95,47,CB
81,36,15,68,97,44,CB
82,41,18,73,97,54,CB
82,41,12,75,95,47,CB
90,37,22,77,97,51,CB
84,39,22,77,99,44,CB
86,46,13,75,100,45,CB
81,42,18,78,97,51,CB
85,45,16,76,100,50,CB
85,38,21,70,103,54,CB
87,44,14,78,104,45,CB
89,37,15,72,103,46,CB
83,42,19,71,101,49,CB
88,39,17,70,96,53,CB
82,39,12,76,100,50,CB
86,39,22,70,101,53,CB
89,39,19,69,98,49,CB
80,46,17,72,97,45,CB
90,40,20,71,104,51,CB
87,39,16,72,97,47,CB
83,42,17,78,103,51,CB
80,40,18,68,96,53,CB
86,43,18,74,95,47,CB
81,43,21,76,104,46,CB
89,36,20,68,100,51,CB
82,36,17,68,103,48,CB
81,38,22,78,99,53,CB
84,44,13,72,98,46,CB
82,44,16,78,101,47,CB
80,42,21,78,96,50,CB
83,40,15,68,103,45,CB
86,40,19,69,96,48,CB
90,45,22,72,101,49,CB
84,40,22,78,102,44,CB
86,45,14,70,95,48,CB
84,39,15,71,102,48,CB
87,42,19,71,102,52,CB
84,40,21,71,100,50,CB
84,42,22,69,96,49,CB
90,45,14,72,96,51,CB
87,45,12,73,96,54,CB
90,42,13,72,102,46,CB
83,39,17,75,99,51,CB
80,36,19,78,97,45,CB
84,42,16,75,101,45,CB
87,45,22,68,96,44,CB
81,38,18,73,102,47,CB
81,38,13,78,95,53,CB
86,45,19,73,103,44,CB
83,38,12,73,105,50,CB
86,38,21,75,104,53,CB
88,46,14,77,99,49,CB
80,42,13,71,99,53,CB
81,38,15,72,96,46,CB
82,42,15,68,103,51,CB
84,45,18,76,100,52,CB
89,38,14,69,97,50,CB
88,46,14,74,103,53,CB
85,36,16,73,104,45,CB
83,46,12,68,103,46,CB
90,42,21,72,95,54,CB
81,37,16,78,105,53,CB
87,37,15,76,104,45,CB
89,42,14,73,103,54,CB
80,36,18,70,96,44,CB
86,41,12,77,95,51,CB
90,36,22,73,96,50,CB
80,45,14,74,105,44,CB
83,40,12,71,104,47,CB
90,42,16,69,101,54,CB
90,40,20,68,95,47,CB
83,46,17,68,97,44,CB
89,45,16,74,104,51,CB
85,41,16,73,99,44,CB
86,46,22,68,98,52,CB
85,45,21,68,103,50,CB
87,41,18,77,100,54,CB
89,42,19,78,97,49,CB
89,42,22,71,100,47,CB
87,40,17,70,95,49,CB
86,46,21,71,105,50,CB
90,40,20,70,103,44,CB
84,39,14,75,105,47,CB
86,46,12,78,98,45,CB
88,36,19,69,98,47,CB
84,37,20,72,100,47,CB
81,41,21,73,101,50,CB
82,43,22,68,101,48,CB
86,36,13,78,104,53,CB
90,41,13,75,99,45,CB
84,38,17,69,99,53,CB
89,36,15,68,97,44,CB
85,41,14,70,97,49,CB
87,40,19,76,98,46,CB
83,39,17,76,95,53,CB
81,43,15,76,96,51,CB
86,40,16,70,97,44,CB
84,46,17,71,96,53,CB
81,43,22,77,102,44,CB
85,43,18,72,98,52,CB
82,36,16,74,103,52,CB
87,39,16,72,105,52,CB
86,43,12,74,105,53,CB
81,39,12,69,97,47,CB
90,39,14,72,102,45,CB
17,64,79,26,21,27,CC
27,59,83,24,28,28,CC
19,62,75,31,25,33,CC
18,65,72,28,30,37,CC
9,67,73,28,26,37,CC
11,73,76,36,13,25,CC
20,69,86,28,31,35,CC
12,73,82,24,22,37,CC
21,60,77,20,27,23,CC
17,61,71,32,18,35,CC
24,67,71,21,27,26,CC
18,73,73,32,24,37,CC
10,59,77,27,29,19,CC
17,63,86,22,23,32,CC
22,65,87,18,21,26,CC
14,63,85,35,19,20,CC
23,60,77,23,25,31,CC
12,56,73,29,26,37,CC
10,56,76,18,14,27,CC
25,72,77,30,27,33,CC
14,71,89,23,20,27,CC
27,71,86,18,20,24,CC
27,68,82,21,24,20,CC
25,56,87,28,26,29,CC
24,71,83,26,29,34,CC
27,65,75,36,19,29,CC
13,59,76,36,16,29,CC
18,61,83,35,18,30,CC
26,56,87,19,26,19,CC
9,59,85,24,22,37,CC
24,70,76,20,20,22,CC
12,72,82,24,27,28,CC
21,57,80,26,30,31,CC
17,61,88,35,15,27,CC
10,57,72,21,14,23,CC
20,66,77,21,22,21,CC
27,59,87,28,16,19,CC
17,69,74,29,19,21,CC
10,71,78,33,20,21,CC
21,71,88,22,30,34,CC
24,70,78,35,27,21,CC
14,74,81,20,19,37,CC
25,72,89,19,14,36,CC
21,58,81,35,29,27,CC
27,70,84,33,15,19,CC
11,56,80,31,28,34,CC
23,62,81,34,25,24,CC
20,57,82,22,31,23,CC
18,67,86,25,24,31,CC
23,69,85,35,29,27,CC
15,71,74,20,14,29,CC
16,57,85,33,23,19,CC
12,60,74,33,30,24,CC
26,61,80,26,17,23,CC
14,69,80,36,22,36,CC
16,67,78,18,23,20,CC
15,63,80,35,15,30,CC
13,64,88,29,21,35,CC
22,61,85,25,31,20,CC
22,63,89,25,25,23,CC
15,68,74,33,31,32,CC
20,58,86,28,23,22,CC
16,59,81,20,27,31,CC
17,62,80,35,28,26,CC
24,71,76,29,20,32,CC
21,68,74,23,23,29,CC
24,57,75,36,30,28,CC
15,59,74,27,17,34,CC
17,57,86,28,25,37,CC
23,66,79,32,14,22,CC
20,63,76,35,16,19,CC
23,66,85,25,28,37,CC
11,62,89,24,24,23,CC
22,71,74,30,20,29,CC
15,59,77,35,23,32,CC
22,61,72,35,22,36,CC
17,65,80,19,21,28,CC
23,69,78,29,18,25,CC
18,71,89,33,15,34,CC
10,74,71,23,18,31,CC
16,70,79,29,27,28,CC
12,56,85,29,16,34,CC
16,74,73,34,15,31,CC
19,65,86,21,28,22,CC
9,59,84,20,23,27,CC
24,71,71,32,20,28,CC
16,56,73,25,22,24,CC
21,59,81,20,16,23,CC
14,73,82,31,17,21,CC
26,67,79,20,18,19,CC
24,64,85,22,25,25,CC
13,62,73,22,28,30,CC
21,70,84,23,20,27,CC
25,57,88,26,13,36,CC
15,69,77,27,21,33,CC
9,69,73,24,14,23,CC
13,62,84,32,18,22,CC
17,63,75,23,14,21,CC
14,64,84,21,26,29,CC
20,72,73,30,19,26,CC
12,71,86,35,25,30,CC
23,74,88,33,30,37,CC
23,70,74,30,23,26,CC
21,69,80,30,14,35,CC
22,66,77,28,29,27,CC
16,60,84,36,14,33,CC
25,56,77,25,27,28,CC
27,61,77,30,23,24,CC
10,64,78,24,18,20,CC
21,61,85,23,20,28,CC
14,74,81,28,18,19,CC
23,68,87,30,17,22,CC
14,67,82,25,13,33,CC
23,68,73,32,20,26,CC
12,64,87,27,29,24,CC
17,68,71,23,13,24,CC
23,66,78,31,17,23,CC
25,71,79,33,18,27,CC
14,74,75,28,29,23,CC
19,66,85,32,29,33,CC
9,56,87,22,25,20,CC
24,67,71,32,25,22,CC
18,70,72,33,24,36,CC
22,70,74,22,13,22,CC
22,56,77,35,26,25,CC
13,58,77,28,21,32,CC
21,67,81,26,18,34,CC
15,62,84,20,24,32,CC
14,62,79,33,19,29,CC
20,57,81,32,23,31,CC
20,57,85,25,20,21,CC
14,65,83,31,29,23,CC
19,64,71,33,29,22,CC
14,60,76,21,20,29,CC
13,71,80,18,14,19,CC
11,59,79,31,14,37,CC
12,74,74,22,19,36,CC
11,67,72,22,27,24,CC
27,74,85,25,26,30,CC
14,74,78,28,15,31,CC
11,72,88,33,31,33,CC
17,66,78,32,17,35,CC
9,71,72,36,23,21,CC
26,70,80,21,13,36,CC
17,74,75,21,20,28,CC
11,73,77,22,29,23,CC
23,61,72,22,13,32,CC
25,72,88,31,25,29,CC
15,69,80,32,31,27,CC
20,73,76,27,21,25,CC
14,62,86,33,26,27,CC
19,73,73,24,30,35,CC
16,62,84,18,17,28,CC
9,74,72,33,19,23,CC
16,68,86,36,24,23,CC
17,74,83,33,21,26,CC
15,68,81,26,27,31,CC
23,61,71,23,16,27,CC
15,71,87,35,19,22,CC
18,71,88,21,15,23,CC
21,59,76,26,31,31,CC
26,60,88,31,14,20,CC
13,66,77,23,26,28,CC
12,72,84,27,18,37,CC
17,74,86,27,23,28,CC
17,60,74,35,17,26,CC
16,57,78,18,20,32,CC
27,64,77,21,28,31,CC
14,65,83,21,24,37,CC
24,61,73,33,16,36,CC
19,58,87,27,23,35,CC
22,57,84,25,31,37,CC
17,71,76,34,23,19,CC
27,67,72,34,14,21,CC
16,64,83,32,20,33,CC
18,73,82,33,29,25,CC
11,62,86,28,15,19,CC
17,62,77,20,30,28,CC
27,67,79,22,17,21,CC
25,71,71,29,20,36,CC
9,69,73,29,29,32,CC
12,61,81,27,21,33,CC
12,67,74,21,16,26,CC
22,63,79,31,25,32,CC
12,67,77,34,23,20,CC
20,74,74,22,13,24,CC
26,73,71,23,24,21,CC
22,57,79,20,21,34,CC
16,56,73,26,26,35,CC
11,60,78,31,15,32,CC
27,72,84,36,31,32,CC
17,65,74,25,15,31,CC
12,68,74,21,28,32,CC
22,65,79,22,28,36,CC
22,58,74,32,21,25,CC
12,62,82,25,23,27,CC
14,58,74,35,23,26,CC
25,56,84,20,16,23,CC
12,59,83,19,27,36,CC
22,63,89,27,21,37,CC
18,66,84,22,15,31,CC
27,69,79,30,15,23,CC
11,68,71,18,29,23,CC
10,66,85,34,30,23,CC
13,60,86,22,28,26,CC
24,61,75,36,23,24,CC
16,72,87,31,27,22,CC
23,60,86,19,15,22,CC
12,60,74,26,27,35,CC
17,73,83,35,29,26,CC
15,60,81,27,15,37,CC
16,57,75,26,31,21,CC
19,69,85,18,26,19,CC
18,66,81,31,19,20,CC
11,68,76,32,18,19,CC
26,67,79,25,27,21,CC
25,60,84,29,23,20,CC
20,61,85,25,29,34,CC
10,63,78,31,21,26,CC
16,73,86,22,27,33,CC
26,74,79,18,14,30,CC
27,67,74,20,23,26,CC
17,68,75,19,16,21,CC
13,58,72,22,29,21,CC
13,64,88,22,29,20,CC
22,70,87,30,18,25,CC
22,65,75,33,18,30,CC
9,71,77,34,18,36,CC
15,64,87,26,26,31,CC
27,67,75,32,29,31,CC
25,64,74,21,22,31,CC
9,68,87,22,28,32,CC
10,59,87,28,28,34,CC
9,66,88,19,25,24,CC
15,65,81,18,21,28,CC
18,65,73,23,16,19,CC
19,68,75,34,25,28,CC
27,60,83,21,28,27,CC
20,63,80,20,14,24,CC
95,16,32,71,64,38,CD
97,19,26,70,61,44,CD
101,24,27,73,69,40,CD
91,18,40,76,58,32,CD
89,15,31,67,63,34,CD
97,15,36,78,61,37,CD
98,23,26,73,65,37,CD
100,13,35,71,62,40,CD
96,16,27,70,65,37,CD
91,20,39,68,60,45,CD
98,15,35,67,67,35,CD
102,19,38,67,64,39,CD
100,22,38,65,66,41,CD
90,15,28,75,59,44,CD
101,16,33,67,65,42,CD
91,10,26,75,69,44,CD
101,17,29,74,60,39,CD
100,16,37,69,61,42,CD
99,13,39,69,71,41,CD
92,15,37,70,63,35,CD
91,10,29,75,65,35,CD
103,22,28,77,71,35,CD
99,19,34,65,67,39,CD
90,10,30,75,61,33,CD
96,23,40,66,68,34,CD
91,19,28,79,60,36,CD
103,15,31,67,61,34,CD
95,20,39,67,59,46,CD
93,15,35,72,72,42,CD
99,22,29,73,69,40,CD
101,12,28,67,63,42,CD
98,23,37,67,58,37,CD
92,13,35,65,70,38,CD
100,19,26,75,59,34,CD
92,19,35,78,72,44,CD
103,11,37,73,68,44,CD
103,19,31,76,64,36,CD
97,14,26,67,60,43,CD
94,17,34,79,59,42,CD
90,19,31,72,62,39,CD
102,21,38,70,65,46,CD
91,15,32,70,70,41,CD
97,18,27,73,64,40,CD
90,14,30,79,71,34,CD
94,18,36,68,66,44,CD
103,15,28,74,62,32,CD
102,18,38,79,71,35,CD
101,19,38,75,72,39,CD
103,12,28,79,71,45,CD
94,10,30,75,58,41,CD
93,16,40,70,68,37,CD
97,19,36,70,70,32,CD
90,21,32,70,61,33,CD
91,14,27,67,69,41,CD
99,16,27,68,69,42,CD
90,20,33,71,65,36,CD
91,23,30,65,63,35,CD
93,20,29,72,58,35,CD
99,21,34,70,66,37,CD
91,24,30,76,60,33,CD
91,24,40,72,61,33,CD
97,13,33,69,71,40,CD
91,16,35,65,69,40,CD
100,16,30,67,72,45,CD
97,20,26,77,70,41,CD
92,23,36,72,64,32,CD
89,23,26,66,68,37,CD
99,16,34,66,58,39,CD
90,11,38,65,68,32,CD
94,15,26,78,64,37,CD
93,23,33,70,63,32,CD
92,23,33,65,58,45,CD
97,23,37,78,61,39,CD
102,14,39,67,68,34,CD
90,15,29,73,68,39,CD
100,13,39,67,62,46,CD
103,12,37,66,69,32,CD
89,19,27,76,68,34,CD
96,23,30,71,60,36,CD
93,23,31,73,71,38,CD
95,21,36,74,69,39,CD
92,17,37,69,61,44,CD
101,15,31,65,72,35,CD
94,11,36,68,63,33,CD
99,22,32,66,67,32,CD
96,24,36,69,64,34,CD
100,11,29,73,68,41,CD
95,15,33,77,59,41,CD
92,21,27,79,70,33,CD
93,19,31,79,64,46,CD
102,24,37,77,63,40,CD
103,13,27,72,67,37,CD
100,16,26,78,66,35,CD
97,22,31,78,59,46,CD
92,12,33,72,67,43,CD
100,11,33,74,71,36,CD
99,17,29,67,60,44,CD
95,16,40,67,68,44,CD
103,12,27,68,62,39,CD
93,15,29,74,72,33,CD
103,22,39,73,63,46,CD
101,23,32,72,69,36,CD
91,16,33,78,58,42,CD
101,20,26,69,69,38,CD
95,13,36,70,60,44,CD
94,14,37,76,68,41,CD
96,11,29,73,64,38,CD
96,11,34,73,58,41,CD
99,23,27,66,64,35,CD
100,18,32,66,72,38,CD
89,19,40,72,59,33,CD
102,10,29,75,61,36,CD
101,10,31,69,64,41,CD
96,19,36,67,70,35,CD
93,18,31,73,61,39,CD
102,18,37,66,68,36,CD
99,21,40,65,69,37,CD
95,24,35,73,68,43,CD
95,12,40,75,67,42,CD
94,13,27,67,61,33,CD
99,20,39,74,58,33,CD
100,13,36,71,68,33,CD
101,14,32,76,65,34,CD
99,24,29,72,71,36,CD
94,18,26,65,62,33,CD
92,20,37,70,64,37,CD
91,20,34,65,68,41,CD
94,22,34,69,68,43,CD
100,13,38,72,66,36,CD
93,15,32,69,71,43,CD
90,17,36,65,62,37,CD
95,18,37,66,65,37,CD
97,16,32,74,71,43,CD
91,24,34,70,69,36,CD
100,13,38,77,71,33,CD
90,14,35,68,71,40,CD
99,13,32,67,70,34,CD
102,13,39,65,60,37,CD
89,24,36,75,60,32,CD
94,11,40,67,70,38,CD
95,23,39,70,70,42,CD
92,12,33,67,66,45,CD
90,16,39,76,67,32,CD
100,16,27,76,60,37,CD
95,19,38,69,71,32,CD
92,21,29,78,72,37,CD
99,23,35,65,64,44,CD
92,24,33,75,63,44,CD
100,19,28,65,59,32,CD
91,11,26,79,71,37,CD
93,19,33,70,70,45,CD
101,22,36,75,68,35,CD
101,18,29,72,59,32,CD
102,24,34,75,60,35,CD
89,18,26,66,65,43,CD
93,13,32,73,62,34,CD
101,23,32,69,62,40,CD
97,20,31,67,66,33,CD
91,22,31,76,69,32,CD
94,13,29,70,64,44,CD
101,20,29,66,64,43,CD
98,14,33,74,63,42,CD
97,22,27,70,71,42,CD
101,18,36,68,60,37,CD
90,17,33,68,65,33,CD
93,13,29,68,62,35,CD
93,12,35,74,60,45,CD
95,17,30,69,62,44,CD
92,17,35,70,63,33,CD
90,17,31,65,72,34,CD
92,19,34,74,72,34,CD
102,19,35,67,69,33,CD
101,18,27,68,64,38,CD
93,21,26,79,60,37,CD
101,22,33,65,71,36,CD
97,24,30,69,72,41,CD
103,21,40,68,61,34,CD
95,19,35,67,60,39,CD
17,77,61,79,86,68,CE
21,79,61,84,87,74,CE
15,74,64,84,91,70,CE
23,73,64,84,88,73,CE
16,79,57,78,90,72,CE
22,74,58,75,91,66,CE
18,76,62,84,82,73,CE
15,82,62,76,82,65,CE
16,74,67,78,86,73,CE
14,78,61,76,85,64,CE
21,83,57,83,86,73,CE
19,77,62,77,91,74,CE
16,78,59,80,90,74,CE
14,73,64,85,89,66,CE
22,83,67,83,88,64,CE
20,74,66,84,90,70,CE
17,80,58,84,90,74,CE
21,82,64,85,83,72,CE
19,77,63,83,90,73,CE
15,75,63,85,88,68,CE
16,75,57,75,92,72,CE
17,80,59,75,90,74,CE
20,74,59,75,91,68,CE
15,75,57,84,90,64,CE
14,82,58,77,85,74,CE
15,79,57,80,85,65,CE
18,76,61,78,86,67,CE
18,74,67,84,91,69,CE
13,73,64,84,90,72,CE
15,74,60,79,89,64,CE
22,81,58,80,90,65,CE
13,73,58,79,92,71,CE
13,79,62,85,87,73,CE
20,76,57,83,90,72,CE
23,75,62,77,85,67,CE
21,77,57,78,85,68,CE
20,73,61,79,91,68,CE
18,77,64,83,84,65,CE
23,74,66,80,86,70,CE
22,79,63,84,83,72,CE
17,80,57,77,89,66,CE
17,81,64,77,87,64,CE
18,76,64,80,82,72,CE
21,81,63,79,84,68,CE
20,73,59,83,82,69,CE
15,74,60,83,86,73,CE
18,73,66,81,83,74,CE
16,76,59,76,85,64,CE
17,75,58,80,88,65,CE
21,80,60,82,87,67,CE
22,73,65,76,83,73,CE
22,83,59,79,84,67,CE
15,82,59,82,83,66,CE
13,78,66,78,92,67,CE
23,81,62,81,90,67,CE
21,79,62,82,88,74,CE
18,78,66,83,83,71,CE
21,79,66,78,83,71,CE
15,77,66,78,86,71,CE
21,79,64,79,89,71,CE
22,73,58,76,85,69,CE
17,81,66,84,92,74,CE
23,80,66,78,92,68,CE
13,81,59,83,92,67,CE
23,79,67,83,92,68,CE
19,74,64,75,92,73,CE
20,75,66,81,92,64,CE
14,73,60,82,89,72,CE
22,75,61,81,92,65,CE
18,77,58,81,91,70,CE
17,73,60,81,84,73,CE
23,75,58,78,85,71,CE
22,79,62,82,85,70,CE
22,81,66,75,90,64,CE
18,83,57,85,87,67,CE
15,81,59,83,90,69,CE
15,81,60,78,82,65,CE
15,79,61,78,90,73,CE
20,78,64,84,85,70,CE
15,79,66,85,82,67,CE
15,77,61,80,85,73,CE
16,80,64,75,87,74,CE
22,83,57,78,91,72,CE
17,75,65,76,87,65,CE
18,73,67,82,86,74,CE
22,73,63,81,88,73,CE
18,83,61,83,88,74,CE
20,74,65,76,84,72,CE
22,79,61,81,89,74,CE
13,82,66,78,91,71,CE
20,76,63,83,89,72,CE
20,76,64,84,82,70,CE
14,82,67,85,89,68,CE
17,73,61,84,89,74,CE
13,83,65,82,88,71,CE
13,74,62,76,83,67,CE
15,78,62,79,87,72,CE
21,83,60,85,90,68,CE
23,74,63,79,88,65,CE
13,81,62,83,89,66,CE
20,77,64,79,91,72,CE
15,76,59,81,85,65,CE
23,73,65,76,90,74,CE
13,80,58,76,91,64,CE
18,75,60,78,83,69,CE
18,77,65,77,91,71,CE
23,80,64,81,91,73,CE
13,78,67,76,85,74,CE
18,74,64,78,89,66,CE
13,74,60,84,89,73,CE
18,79,57,77,86,70,CE
23,79,63,84,83,67,CE
21,73,58,85,87,74,CE
14,74,67,85,92,70,CE
17,82,60,76,89,69,CE
23,74,58,75,82,70,CE
13,76,64,75,91,66,CE
15,80,62,75,84,64,CE
21,79,64,77,89,74,CE
16,80,64,81,90,73,CE
14,76,63,80,85,73,CE
13,74,60,78,83,73,CE
15,75,65,79,83,65,CE
20,77,63,80,90,65,CE
15,81,64,80,84,70,CE
14,76,64,85,86,74,CE
15,80,59,76,84,66,CE
16,73,63,81,85,74,CE
21,80,61,85,85,74,CE
15,78,59,75,92,74,CE
23,82,63,78,88,72,CE
16,74,67,81,89,71,CE
20,78,66,84,90,73,CE
15,75,65,76,91,67,CE
20,80,58,80,91,72,CE
15,81,64,76,87,68,CE
21,75,66,83,90,69,CE
13,76,63,79,89,67,CE
13,77,62,84,85,66,CE
19,75,60,81,84,73,CE
20,76,63,81,86,65,CE
16,81,58,84,85,65,CE
16,77,57,75,92,64,CE
18,83,61,84,87,71,CE
17,77,64,82,87,71,CE
20,75,63,78,84,72,CE
17,83,63,82,85,73,CE
18,73,58,76,85,68,CE
23,76,57,78,90,71,CE
22,78,59,75,89,67,CE
13,74,63,76,82,66,CE
18,81,60,79,84,72,CE
19,73,64,84,83,74,CE
16,77,66,75,86,66,CE
20,83,58,84,85,67,CE
