X1,X2,X3,X4,X5,X6,classe
81,46,12,70,104,52,CB
85,42,15,75,104,50,CB
12,73,78,33,17,27,CC
22,74,80,30,27,28,CC
17,57,77,24,29,28,CC
15,56,73,24,17,30,CC
12,72,77,35,28,21,CC
19,58,85,21,16,27,CC
21,63,78,30,16,29,CC
22,68,75,34,29,26,CC
15,62,85,22,31,24,CC
27,68,79,18,14,27,CC
23,61,73,21,24,24,CC
10,59,73,25,16,36,CC
21,66,83,34,25,23,CC
9,66,71,35,30,28,CC
12,66,84,32,17,26,CC
12,58,76,34,26,22,CC
20,63,79,29,16,19,CC
13,56,71,21,15,33,CC
26,59,80,22,20,28,CC
23,63,79,24,27,35,CC
20,62,72,29,29,24,CC
26,71,81,29,13,36,CC
9,67,80,25,29,20,CC
9,69,86,20,29,20,CC
26,67,75,22,14,37,CC
23,61,80,23,17,28,CC
23,70,72,20,27,30,CC
27,56,72,19,14,19,CC
14,64,82,27,23,32,CC
21,74,81,36,14,30,CC
15,65,83,24,22,31,CC
14,64,73,20,15,27,CC
13,64,83,23,18,37,CC
10,61,78,32,21,35,CC
18,73,89,21,14,34,CC
18,60,71,20,26,34,CC
22,59,83,23,15,25,CC
12,56,83,31,31,24,CC
14,66,87,18,16,30,CC
21,66,80,33,31,36,CC
16,74,80,25,31,33,CC
21,62,80,26,29,37,CC
25,62,74,27,23,23,CC
20,74,84,19,21,19,CC
14,59,88,19,25,20,CC
22,68,89,33,14,19,CC
16,63,86,18,18,33,CC
11,62,81,32,14,31,CC
11,66,75,19,28,20,CC
20,56,75,31,26,34,CC
17,71,78,33,14,27,CC
9,68,75,33,27,32,CC
9,62,84,30,17,34,CC
11,57,82,29,31,31,CC
27,65,88,24,23,32,CC
9,74,74,25,26,37,CC
13,74,76,18,22,22,CC
17,56,82,26,21,34,CC
10,64,82,32,28,31,CC
16,70,81,28,25,28,CC
14,64,80,29,30,37,CC
15,57,87,23,21,37,CC
19,71,77,26,29,35,CC
27,67,79,31,30,22,CC
13,67,82,31,27,29,CC
9,60,88,19,13,22,CC
17,65,74,19,25,30,CC
12,73,72,27,21,33,CC
16,68,83,19,23,25,CC
11,59,71,30,18,23,CC
24,70,83,24,16,31,CC
17,71,89,34,22,30,CC
25,68,80,27,17,24,CC
24,67,75,30,24,30,CC
23,57,84,26,16,24,CC
17,56,77,21,14,21,CC
10,71,85,25,22,32,CC
22,70,80,35,25,22,CC
23,74,77,22,30,29,CC
11,63,82,30,22,31,CC
15,57,86,20,26,27,CC
24,66,78,23,14,20,CC
12,56,71,28,16,20,CC
14,66,79,26,13,26,CC
11,67,74,21,27,34,CC
13,65,81,27,19,23,CC
12,63,87,30,13,37,CC
19,67,80,19,17,32,CC
26,62,80,25,23,22,CC
15,58,74,33,27,31,CC
19,72,80,34,28,29,CC
16,57,83,33,30,19,CC
9,62,79,27,30,27,CC
26,68,71,23,13,36,CC
19,71,73,36,16,33,CC
12,58,79,18,22,23,CC
27,74,79,30,31,33,CC
11,74,89,33,15,37,CC
26,70,74,27,15,30,CC
11,61,83,18,30,25,CC
12,70,79,24,16,33,CC
15,57,84,22,18,19,CC
91,10,36,70,64,39,CD
99,14,37,66,71,46,CD
99,10,36,79,58,35,CD
91,17,30,68,70,44,CD
95,18,35,66,65,44,CD
99,22,40,74,60,42,CD
99,24,31,66,68,35,CD
97,13,29,73,72,41,CD
100,13,33,72,58,35,CD
96,24,40,76,70,34,CD
96,12,37,66,66,33,CD
89,20,30,69,69,44,CD
97,23,36,69,65,40,CD
103,14,33,70,58,41,CD
89,23,30,67,71,36,CD
96,24,27,78,70,39,CD
101,13,38,69,59,34,CD
96,12,32,72,63,35,CD
102,22,31,71,63,44,CD
94,17,28,77,71,45,CD
96,17,33,73,72,34,CD
92,15,34,76,61,43,CD
91,17,37,79,61,34,CD
100,22,29,65,63,33,CD
89,17,29,66,66,41,CD
101,17,39,65,71,35,CD
95,18,34,70,72,32,CD
90,22,30,79,68,34,CD
102,12,31,71,59,36,CD
97,10,36,65,66,43,CD
90,17,32,77,67,38,CD
101,10,34,75,67,42,CD
102,14,26,78,70,42,CD
89,20,35,66,62,43,CD
97,13,38,75,67,37,CD
100,15,33,65,65,40,CD
90,18,31,76,64,42,CD
96,11,27,68,71,33,CD
99,21,29,67,68,46,CD
97,16,34,73,69,41,CD
99,21,26,75,68,37,CD
98,20,40,77,58,44,CD
91,10,28,72,64,32,CD
91,18,37,68,63,34,CD
95,13,35,67,65,40,CD
94,20,33,67,72,33,CD
91,17,36,71,58,42,CD
97,24,32,75,66,35,CD
94,18,31,77,67,34,CD
90,15,29,66,69,33,CD
90,17,26,79,68,41,CD
90,22,39,76,66,45,CD
102,16,27,74,67,33,CD
97,21,26,79,69,39,CD
91,10,37,79,70,34,CD
94,12,31,69,68,32,CD
102,14,33,71,61,33,CD
91,11,27,79,59,34,CD
93,15,40,66,64,32,CD
102,21,37,69,70,44,CD
91,15,32,67,70,46,CD
90,19,30,68,65,46,CD
102,20,40,69,63,35,CD
91,15,35,73,66,45,CD
100,17,28,68,70,45,CD
97,22,40,65,63,33,CD
93,21,30,72,62,34,CD
92,12,31,70,67,41,CD
102,24,26,77,69,42,CD
100,16,36,74,69,37,CD
90,18,38,66,61,42,CD
91,22,36,75,69,40,CD
100,23,40,72,70,33,CD
98,19,33,67,71,43,CD
99,11,39,71,65,39,CD
14,82,57,84,91,74,CE
16,83,57,79,83,71,CE
17,81,57,85,85,68,CE
13,82,64,83,86,67,CE
19,80,57,82,90,65,CE
16,74,62,77,85,64,CE
20,73,60,78,89,69,CE
20,83,63,84,84,69,CE
22,80,65,80,82,70,CE
16,80,58,77,90,65,CE
21,79,64,77,92,65,CE
16,75,59,77,87,71,CE
14,77,65,84,91,73,CE
22,81,60,82,84,74,CE
23,73,67,82,86,67,CE
21,82,67,84,82,71,CE
18,75,64,82,92,67,CE
17,77,63,76,86,67,CE
17,83,66,80,87,71,CE
17,83,60,85,87,68,CE
14,81,66,83,91,70,CE
14,79,62,81,87,70,CE
18,83,65,76,85,71,CE
16,74,66,83,88,64,CE
15,80,66,83,91,71,CE
18,77,63,75,87,67,CE
14,80,66,85,83,70,CE
17,73,66,80,83,67,CE
14,77,61,79,87,70,CE
21,80,66,79,88,66,CE
18,80,63,85,89,71,CE
16,82,63,79,83,65,CE
15,74,58,85,88,69,CE
19,83,64,76,90,73,CE
23,82,63,83,88,72,CE
13,76,61,77,87,73,CE
13,73,57,77,86,73,CE
13,83,65,80,88,64,CE
21,83,58,80,90,72,CE
16,80,65,75,85,67,CE
17,76,58,77,90,70,CE
17,81,65,77,86,69,CE
21,76,57,77,89,72,CE
23,81,63,83,82,70,CE
16,76,60,79,83,66,CE
16,76,59,82,84,68,CE
22,76,59,79,82,66,CE
16,75,57,82,92,73,CE
22,74,62,78,86,67,CE
23,76,64,78,88,72,CE
23,82,57,77,87,74,CE
18,80,67,80,92,64,CE
23,74,58,76,92,73,CE
19,82,64,76,82,68,CE
16,75,59,75,84,67,CE
20,75,61,77,88,65,CE
19,80,62,79,82,66,CE
14,75,61,82,92,64,CE
21,81,67,81,90,74,CE
23,76,59,75,83,73,CE
18,73,66,83,84,71,CE
13,77,57,76,92,68,CE
22,73,63,85,85,73,CE
17,76,66,79,87,70,CE
20,75,65,76,85,65,CE
19,76,65,80,89,73,CE
